,user,id_p,coun
315,471,TENDA ROUTER,1.0
316,471,TENDA AC1200,1.0
317,472,VIEWSONIC PRO PROJECTOR LS500WHE,1.0
318,473,ACER PROJECTOR BS-120P XGA-4000 ANSI,1.0
319,473,"SCREEN TRIPOD 84"" CASA MW",1.0
320,474,LENOVO V14GEN2 BCID CORE I7-11657 8GB/512GB,1.0
321,475,"ACER MONITOR K273 IPS FHD 27"" SPEAKER",1.0
322,476,AXIOO SLIMBOOK 14 R5/8GB/256GB,1.0
323,477,"SCREEN TRIPOD 70"" CASA",1.0
324,478,EPSON L3210,1.0
325,479,PRINTER EPSON L3210,1.0
326,480,SCREEN MANUAL 70' CASSA,1.0
327,481,"SCREEN TRIPOD 70"" PIXEL",1.0
328,482,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
329,482,RAM 4GB KINGSTON,1.0
330,483,ACER MONITOR K243Y IPS FHD 23.8 SPEAKER,1.0
331,484,MSI MODERN 14 9S7-14D334-1026 CORE I3,1.0
332,485,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ,1.0
333,486,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
334,487,NB ASUS M3401Q-OLED555 AMD R5-5600H RTX 3050 SSD 512GB RAM 8GB OLED FINGERPRINT BACKLIGT WIN11,1.0
335,488,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
336,489,MONITOR PHILIPS 2421GAEZ/70 165HZ,1.0
337,490,HIKVISION DS-2CE76DOT-EXIPF 2MP (INDOOR),1.0
338,491,ASUS PC S500TC-I3 10105/GT730/4G/1TB/WIN/2Y/300W,1.0
339,492,SSD NVME 1TB,1.0
340,493,AXIO 14F 4GB/256GB SSD BLUE,1.0
341,494,BRACKET SCREEN,1.0
342,494,PROJECTOR VIEW SONIC PA503XE ,1.0
343,495,VIEWSONIC PA-503S,1.0
344,496,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
345,496,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
346,497,SSD NVME 512GB CABUTAN LENOVO,1.0
347,498,VIEWSONIC PA-503S,1.0
348,498,"SCREEN TRIPOD 70"" PIXEL",1.0
349,499,VIEWSONIC PA-503S,1.0
350,500,SCREEN MANUAL 70' CASSA,1.0
351,501,PRINTER EPSON L3210,1.0
352,502,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
353,503,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
354,504,AXIOO MYBOOK 14F 6GB/256GB,1.0
355,505,RAM 8GB KINGSTON,1.0
356,506,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK,1.0
357,507,ASUS K413EA/I3/8GB/512GB,1.0
358,508,VIEWSONIC PA-503S,1.0
359,508,"SCREEN TRIPOD 70"" CASA",1.0
360,509,AXIOO MYBOOK 14F 8GB/256GB,1.0
361,510,NB ASUS A416KA-FHD422/N4500/UMA/4GB/256GB/FHD/GREY/WIN11,1.0
362,511,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
363,511,RAM 4GB KINGSTON,1.0
364,512,VIEWSONIC M1 +G2,1.0
365,513,SCREEN MANUAL 70' CASSA,1.0
366,513,WIFI DONGLE,1.0
367,514,VIEWSONIC M1 +G2,1.0
368,515,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
369,516,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
370,517,HP 245 G8 RYZEN 5,1.0
371,518,LENOVO V14 G2 ITL CORE I3/4GB/256GB/MX350,1.0
372,519,"SCREEN TRIPOD 70"" CASA",1.0
373,520,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
374,521,VIEWSONIC PA-503S,1.0
375,521,BRACKET TV WALL MOUNT,1.0
376,521,KABEL HDMI 2.0 SUPPORT 4K 2K 15M EYOTA,1.0
377,522,AXIOO SLIMBOOK 14 R5/8GB/256GB,1.0
378,523,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ,1.0
379,524,AXIOO MYBOOK 14F 4GB/265GB ,1.0
380,360,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
381,525,MY BOOK AXIOO 11G N4000/4020 RAM 6GB DDR4 SSD M.2 256GB,1.0
382,526,ACER PROJECTOR BS-120PV XGA-4000 ANSI,1.0
383,526,"SCREEN TRIPOD 70"" CASA",1.0
384,527,ASUS NOTEBOOK /A416MAO-VIPS421/N4020/UMA/4GB/256GB SSD/VIPS FHD/TRANSPARENT SILVER/OPI/WIN 11,1.0
385,527,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
386,528,AXIO 14F 6GB/256GB SSD GREY,1.0
387,529,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
388,530,KABEL HDMI 2.0 SUPPORT 4K 2K 5M EYOTA,1.0
389,530,KABEL HDMI 2.0 SUPPORT 4K 2K 5M EYOTA,1.0
390,530,KABEL HDMI 2.0 SUPPORT 4K 2K 5M EYOTA,1.0
391,530,KABEL HDMI 2.0 SUPPORT 4K 2K 5M EYOTA,1.0
392,531,RAM 4GB KINGSTON,1.0
393,532,MONITOR VIEW SONIC VA2210-H,1.0
394,533,HDD SEAGATE EXPANSION 2.5 1TB (3.0) NEW/STKM1000400,1.0
395,534,VIEWSONIC PA-503S,1.0
396,534,BRACKET SCREEN,1.0
397,534,KABEL HDMI 2.0 SUPPORT 4K 2K 15M EYOTA,1.0
398,535,VIEWSONIC PA-503S,1.0
399,535,"SCREEN TRIPOD 70"" CASA",1.0
400,536,MONITOR ACER XV242Y 24',1.0
401,537,FINGERSPOT REVO WFV-208BNC,1.0
402,538,ASUS NOTEBOOK /A416MAO-VIPS421/N4020/UMA/4GB/256GB SSD/VIPS FHD/TRANSPARENT SILVER/OPI/WIN 11,1.0
403,539,VIEWSONIC PA-503S,1.0
404,539,VIEWSONIC PA-503S,1.0
405,539,VIEWSONIC PA-503S,1.0
406,539,VIEWSONIC PA-503S,1.0
407,539,VIEWSONIC PA-503S,1.0
408,539,VIEWSONIC PA-503S,1.0
409,539,VIEWSONIC PA-503S,1.0
410,539,VIEWSONIC PA-503S,1.0
411,540,"ASUS PC AIO A5401WRAK-BA581WS/23.8""/I5-10500T/UMA/8GB/1TB/FHD/WIN /BLACK",1.0
412,541,MONITOR ACER XV242Y 24',1.0
413,542,EPSON L121,1.0
414,543,EPSON EB-X500,1.0
415,546,AXIOO MYBOOK 14F 8GB/256GB,1.0
416,547,"SCREEN TRIPOD 70"" CASA",1.0
417,548,BRACKET PRO HITAM,1.0
